Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB
0, eco1, 1881, 21539.35, 3.2, 349.3
0, eco2, 7920, 20028.32, 0.7, 326.6
10, eco1, 1881, 22445.79, 820.7, 354.3
10, eco2, 7920, 21377.87, 797.1, 324.7
20, eco1, 1881, 23180.08, 828.3, 348.8
20, eco2, 7920, 22283.44, 790.9, 309.9
30, eco1, 1881, 23599.93, 833.1, 344.2
30, eco2, 7920, 22732.33, 788.4, 298.9
40, eco1, 1881, 23870.85, 816.6, 335.2
40, eco2, 7920, 22939.77, 775.8, 292.1
50, eco1, 1881, 23822.84, 763.0, 312.3
50, eco2, 7920, 22742.90, 717.5, 272.6
