Time, Month, Ecoregion, NumSites,PPT, T, NPPC, Resp, NEE, Ndeposition, Nvolatilization
5, 1, eco3, 1,3.1, -12.0, 0.00, 12.27, 12.27, 0.19, 2.44 
5, 2, eco3, 1,2.3, -10.1, 0.00, 11.99, 11.99, 0.14, 2.44 
5, 3, eco3, 1,4.6, -4.2, 0.00, 6.55, 6.55, 0.28, 2.44 
5, 4, eco3, 1,6.0, 4.3, 0.00, 26.67, 26.67, 0.36, 2.44 
5, 5, eco3, 1,8.4, 11.5, 34.28, 32.12, -2.16, 0.51, 2.44 
5, 6, eco3, 1,9.7, 16.7, 173.78, 39.34, -134.44, 0.59, 2.44 
5, 7, eco3, 1,10.1, 19.3, 187.21, 39.84, -147.37, 0.61, 2.44 
5, 8, eco3, 1,11.5, 18.0, 244.75, 35.27, -209.48, 0.70, 2.44 
5, 9, eco3, 1,9.9, 13.3, 117.98, 24.04, -93.94, 0.60, 2.44 
5, 10, eco3, 1,6.8, 7.3, 0.13, 140.58, 140.44, 0.41, 2.44 
5, 11, eco3, 1,5.8, -1.1, 0.00, 18.11, 18.11, 0.35, 2.44 
5, 12, eco3, 1,3.3, -8.5, 0.00, 63.27, 63.27, 0.20, 2.44 
10, 1, eco3, 1,3.1, -12.0, 0.00, 16.88, 16.88, 0.19, 1.43 
10, 2, eco3, 1,2.3, -10.1, 0.00, 16.62, 16.62, 0.14, 1.43 
10, 3, eco3, 1,4.6, -4.2, 0.00, 9.14, 9.14, 0.28, 1.43 
10, 4, eco3, 1,6.0, 4.3, 0.00, 37.56, 37.56, 0.36, 1.43 
10, 5, eco3, 1,8.4, 11.5, 44.86, 45.93, 1.07, 0.51, 1.43 
10, 6, eco3, 1,9.7, 16.7, 230.47, 56.77, -173.70, 0.59, 1.43 
10, 7, eco3, 1,10.1, 19.3, 239.78, 57.96, -181.82, 0.61, 1.43 
10, 8, eco3, 1,11.5, 18.0, 303.26, 51.75, -251.51, 0.70, 1.43 
10, 9, eco3, 1,9.9, 13.3, 139.35, 35.55, -103.80, 0.60, 1.43 
10, 10, eco3, 1,6.8, 7.3, 0.13, 181.69, 181.55, 0.41, 1.43 
10, 11, eco3, 1,5.8, -1.1, 0.00, 23.28, 23.28, 0.35, 1.43 
10, 12, eco3, 1,3.3, -8.5, 0.00, 81.37, 81.37, 0.20, 1.43 
15, 1, eco3, 1,3.1, -12.0, 0.00, 20.23, 20.23, 0.19, 0.40 
15, 2, eco3, 1,2.3, -10.1, 0.00, 20.12, 20.12, 0.14, 0.40 
15, 3, eco3, 1,4.6, -4.2, 0.00, 11.16, 11.16, 0.28, 0.40 
15, 4, eco3, 1,6.0, 4.3, 0.00, 46.27, 46.27, 0.36, 0.40 
15, 5, eco3, 1,8.4, 11.5, 50.68, 57.60, 6.91, 0.51, 0.40 
15, 6, eco3, 1,9.7, 16.7, 263.30, 71.94, -191.35, 0.59, 0.40 
15, 7, eco3, 1,10.1, 19.3, 268.27, 74.18, -194.09, 0.61, 0.40 
15, 8, eco3, 1,11.5, 18.0, 332.70, 66.87, -265.83, 0.70, 0.40 
15, 9, eco3, 1,9.9, 13.3, 148.72, 46.30, -102.42, 0.60, 0.40 
15, 10, eco3, 1,6.8, 7.3, 0.11, 206.47, 206.36, 0.41, 0.40 
15, 11, eco3, 1,5.8, -1.1, 0.00, 26.30, 26.30, 0.35, 0.40 
15, 12, eco3, 1,3.3, -8.5, 0.00, 91.93, 91.93, 0.20, 0.40 
20, 1, eco3, 1,3.1, -12.0, 0.00, 15.47, 15.47, 0.19, 0.12 
20, 2, eco3, 1,2.3, -10.1, 0.00, 15.90, 15.90, 0.14, 0.12 
20, 3, eco3, 1,4.6, -4.2, 0.00, 9.08, 9.08, 0.28, 0.12 
20, 4, eco3, 1,6.0, 4.3, 0.00, 38.57, 38.57, 0.36, 0.12 
20, 5, eco3, 1,8.4, 11.5, 50.56, 50.63, 0.07, 0.51, 0.12 
20, 6, eco3, 1,9.7, 16.7, 216.12, 65.15, -150.96, 0.59, 0.12 
20, 7, eco3, 1,10.1, 19.3, 153.46, 69.08, -84.38, 0.61, 0.12 
20, 8, eco3, 1,11.5, 18.0, 131.23, 63.89, -67.34, 0.70, 0.12 
20, 9, eco3, 1,9.9, 13.3, 45.99, 45.14, -0.84, 0.60, 0.12 
20, 10, eco3, 1,6.8, 7.3, 0.04, 128.67, 128.64, 0.41, 0.12 
20, 11, eco3, 1,5.8, -1.1, 0.00, 15.97, 15.97, 0.35, 0.12 
20, 12, eco3, 1,3.3, -8.5, 0.00, 55.86, 55.86, 0.20, 0.12 
25, 1, eco3, 1,3.1, -12.0, 0.00, 13.57, 13.57, 0.19, 0.11 
25, 2, eco3, 1,2.3, -10.1, 0.00, 14.06, 14.06, 0.14, 0.11 
25, 3, eco3, 1,4.6, -4.2, 0.00, 8.07, 8.07, 0.28, 0.11 
25, 4, eco3, 1,6.0, 4.3, 0.00, 34.77, 34.77, 0.36, 0.11 
25, 5, eco3, 1,8.4, 11.5, 50.22, 46.14, -4.08, 0.51, 0.11 
25, 6, eco3, 1,9.7, 16.7, 198.63, 59.72, -138.91, 0.59, 0.11 
25, 7, eco3, 1,10.1, 19.3, 128.96, 63.52, -65.44, 0.61, 0.11 
25, 8, eco3, 1,11.5, 18.0, 111.36, 59.00, -52.36, 0.70, 0.11 
25, 9, eco3, 1,9.9, 13.3, 40.36, 41.85, 1.49, 0.60, 0.11 
25, 10, eco3, 1,6.8, 7.3, 0.02, 115.18, 115.16, 0.41, 0.11 
25, 11, eco3, 1,5.8, -1.1, 0.00, 14.23, 14.23, 0.35, 0.11 
25, 12, eco3, 1,3.3, -8.5, 0.00, 49.86, 49.86, 0.20, 0.11 
