Time, Ecoregion, NumSites,NEEC, SOMTC, AGB, AG_NPPC, BG_NPPC, LitterfallC, AgeMortality, MineralN, TotalN, GrossMineralization, C:LeafFRoot, C:WoodCRoot, C:DeadWood, C:DeadCRoot, C:SurfStruc, C:SurfMeta, C:SoilStruc, C:SoilMeta, C:SOM1surf, C:SOM1soil, C:SOM2, C:SOM3, N:CohortLeaf, N:CohortWood, N:DeadWood, N:DeadRoot, N:SurfStruc, N:SurfMeta, N:SoilStruc, N:SoilMeta, N:SOM1surf, N:SOM1soil, N:SOM2, N:SOM3, SurfStrucNetMin, SurfMetaNetMin, SoilStrucNetMin, SoilMetaNetMin, SOM1surfNetMin, SOM1soilNetMin, SOM2NetMin, SOM3NetMin, StreamC, StreamN, FireCEfflux, FireNEfflux, Nuptake, Nresorbed, TotalSoilN, Nvol, avgfrassC,
5, eco3, 1, -182.56, 1867.7, 1143.0, 172.36, 108.6, 86.2, 0.1, 4.3, 75.4, 6.0, 0.0, 805.8, 32.5, 16.2, 249.5, 131.4, 204.5, 80.1, 22.6, 18.7, 51.1, 1109.8, 0.00, 8.95, 0.36, 0.18, 1.25, 4.64, 1.02, 3.01, 1.58, 2.23, 3.04, 44.78, 0.0, -0.3, 0.0, -0.5, 1.2, 2.4, 0.1, -0.2, 0.0000, 0.0000, 0.000, 0.0, 5.3841, 1.9720, 66.415, 2.6, 0.0000,  
10, eco3, 1, -211.96, 2322.8, 2012.0, 223.35, 140.7, 111.7, 0.2, 2.2, 85.5, 8.3, 0.0, 1419.4, 62.7, 31.4, 450.8, 193.6, 368.0, 115.4, 38.9, 26.4, 73.3, 1056.5, 0.00, 15.77, 0.70, 0.35, 2.25, 6.84, 1.84, 4.35, 2.54, 2.64, 3.31, 42.70, 0.0, -0.4, 0.0, -0.5, 2.0, 2.9, -0.2, -0.1, 0.0000, 0.0000, 0.000, 0.0, 6.7657, 2.5739, 69.754, 1.3, 0.0000,  
15, eco3, 1, -218.87, 2742.2, 2852.0, 254.75, 160.5, 127.4, 0.3, 2.3, 96.4, 10.1, 0.0, 2011.0, 95.6, 47.8, 658.6, 224.3, 534.7, 131.7, 51.5, 33.6, 101.8, 1006.0, 0.00, 22.34, 1.07, 0.54, 3.29, 7.93, 2.67, 4.97, 3.07, 3.24, 4.19, 40.76, 0.0, -0.5, 0.0, -0.4, 2.5, 3.6, -0.6, -0.1, 0.0000, 0.0000, 0.000, 0.0, 7.7465, 3.0085, 74.071, 1.3, 0.0000,  
20, eco3, 1, -226.84, 3220.6, 3732.0, 287.10, 180.9, 143.6, 0.5, 2.1, 107.7, 11.7, 0.0, 2631.5, 129.7, 64.9, 886.7, 257.9, 716.4, 168.2, 64.5, 39.6, 129.1, 958.2, 0.00, 29.24, 1.46, 0.73, 4.43, 9.12, 3.58, 6.34, 3.61, 3.57, 4.59, 38.93, 0.0, -0.5, 0.0, -0.4, 3.0, 4.2, -0.9, -0.1, 0.0000, 0.0000, 0.000, 0.0, 8.6542, 3.3965, 78.474, 1.2, 0.0000,  
25, eco3, 1, -222.77, 3676.9, 4593.0, 314.14, 197.9, 157.1, 0.8, 2.3, 118.8, 13.6, 0.0, 3238.3, 164.2, 82.1, 1122.2, 284.5, 902.1, 169.4, 76.9, 49.0, 159.9, 912.9, 0.00, 35.98, 1.85, 0.92, 5.61, 10.07, 4.51, 6.39, 4.07, 4.41, 5.45, 37.24, 0.0, -0.6, 0.0, -0.3, 3.4, 5.0, -1.4, -0.1, 0.0000, 0.0000, 0.000, 0.0, 9.4377, 3.7476, 82.839, 1.3, 0.0000,  
30, eco3, 1, -204.87, 4129.3, 5411.0, 327.83, 206.5, 163.9, 1.3, 2.6, 129.8, 15.2, 0.0, 3815.9, 198.1, 99.1, 1359.6, 303.8, 1087.6, 176.8, 88.5, 55.4, 187.4, 870.2, 0.00, 42.40, 2.23, 1.11, 6.80, 10.75, 5.44, 6.67, 4.46, 5.20, 6.50, 35.67, 0.1, -0.6, 0.1, -0.4, 3.7, 5.6, -1.8, -0.1, 0.0000, 0.0000, 0.000, 0.0, 9.8015, 3.9237, 87.431, 1.4, 0.0000,  
35, eco3, 1, -201.73, 4562.6, 6156.0, 347.89, 219.2, 174.0, 2.0, 2.7, 139.6, 16.5, 0.0, 4341.1, 229.5, 114.8, 1590.3, 319.5, 1266.0, 185.5, 98.5, 61.3, 211.8, 829.7, 0.00, 48.23, 2.58, 1.29, 7.95, 11.31, 6.33, 7.00, 4.73, 5.80, 7.48, 34.23, 0.1, -0.7, 0.1, -0.5, 3.9, 6.2, -2.1, -0.1, 0.0000, 0.0000, 0.000, 0.0, 10.4257, 4.1792, 91.400, 1.5, 0.0000,  
40, eco3, 1, -201.44, 5018.3, 6891.0, 371.41, 234.0, 185.7, 2.9, 2.7, 149.2, 17.9, 0.0, 4859.0, 260.3, 130.2, 1826.5, 341.5, 1447.4, 198.4, 109.2, 67.6, 236.4, 791.4, 0.00, 53.99, 2.93, 1.46, 9.13, 12.08, 7.24, 7.49, 5.09, 6.26, 8.02, 32.89, 0.1, -0.7, 0.1, -0.4, 4.2, 6.8, -2.4, -0.1, 0.0000, 0.0000, 0.000, 0.0, 11.1164, 4.4388, 95.254, 1.4, 0.0000,  
45, eco3, 1, -191.96, 5464.7, 7582.0, 388.44, 244.7, 194.2, 4.2, 2.8, 158.7, 19.3, 0.0, 5347.0, 290.8, 145.4, 2061.2, 359.3, 1626.3, 208.5, 119.6, 73.8, 261.0, 755.1, 0.00, 59.41, 3.27, 1.64, 10.31, 12.72, 8.13, 7.87, 5.42, 6.84, 8.67, 31.65, 0.1, -0.8, 0.1, -0.4, 4.5, 7.3, -2.8, -0.1, 0.0000, 0.0000, 0.000, 0.0, 11.6223, 4.6446, 99.258, 1.5, 0.0000,  
50, eco3, 1, -182.29, 5899.5, 8223.0, 404.14, 254.6, 202.1, 6.0, 2.9, 167.7, 20.5, 0.0, 5798.6, 320.4, 160.2, 2292.2, 374.9, 1800.8, 217.3, 129.3, 79.6, 284.6, 720.8, 0.00, 64.43, 3.61, 1.80, 11.46, 13.27, 9.01, 8.20, 5.71, 7.37, 9.41, 30.51, 0.1, -0.8, 0.1, -0.4, 4.8, 7.9, -3.1, -0.1, 0.0000, 0.0000, 0.000, 0.0, 12.0900, 4.8309, 103.222, 1.5, 0.0000,  
